=== lizard ===
esp32/src/screens/error_screen.cpp:125: warning: ErrorScreen::update has 66 NLOC, 20 CCN, 569 token, 2 PARAM, 90 length
esp32/src/screens/error_screen.cpp:216: warning: ErrorScreen::draw has 182 NLOC, 28 CCN, 1591 token, 0 PARAM, 236 length
esp32/src/ui/wheel_diag_hint.h:91: warning: ui::buildWheelBlockText has 47 NLOC, 16 CCN, 368 token, 7 PARAM, 65 length
esp32/src/ui/car_renderer.cpp:144: warning: ui::CarRenderer::drawWheelCapsule has 84 NLOC, 16 CCN, 1020 token, 11 PARAM, 117 length
esp32/src/sensors/obstacle_sensor.cpp:295: warning: obstacle_sensor::parseMultiPixelFrame has 46 NLOC, 20 CCN, 433 token, 4 PARAM, 68 length
esp32/src/sensors/obstacle_sensor.cpp:436: warning: obstacle_sensor::update has 260 NLOC, 75 CCN, 1432 token, 1 PARAM, 365 length
esp32/src/touch_handler.cpp:54: warning: touch::update has 62 NLOC, 28 CCN, 391 token, 3 PARAM, 88 length
esp32/src/shifter_input.cpp:270: warning: shifter::update has 66 NLOC, 17 CCN, 350 token, 0 PARAM, 96 length
esp32/src/led_controller.cpp:320: warning: led_ctrl::updateDecorativeFront has 87 NLOC, 26 CCN, 546 token, 1 PARAM, 109 length
esp32/src/led_controller.cpp:430: warning: led_ctrl::updateDecorativeRear has 93 NLOC, 28 CCN, 599 token, 1 PARAM, 112 length
esp32/src/led_controller.cpp:882: warning: led_ctrl::update has 63 NLOC, 19 CCN, 315 token, 0 PARAM, 92 length
esp32/src/test_knight_rider.cpp:80: warning: main has 45 NLOC, 18 CCN, 439 token, 0 PARAM, 61 length
esp32/src/can_rx.cpp:646: warning: can_rx::poll has 57 NLOC, 38 CCN, 595 token, 1 PARAM, 65 length
esp32/src/test_decor_modes.cpp:129: warning: main has 77 NLOC, 28 CCN, 740 token, 0 PARAM, 97 length
esp32/src/screen_manager.cpp:33: warning: ScreenManager::update has 136 NLOC, 26 CCN, 788 token, 1 PARAM, 182 length
esp32/src/main.cpp:417: warning: renderTask has 71 NLOC, 19 CCN, 482 token, 0 PARAM, 118 length
esp32/src/main.cpp:603: warning: setup has 101 NLOC, 18 CCN, 598 token, 0 PARAM, 191 length
esp32/src/main.cpp:798: warning: loop has 712 NLOC, 212 CCN, 4775 token, 0 PARAM, 1037 length
